title,company_name,location,via,date_time,salary_standardized,description_tokens
"Staff Data Scientist, Advanced Analytics (Remote)",Drata,Anywhere,via LinkedIn,2023-05-26 03:00:31.049485,,"communication, power bi, machine learning, problem solving, tableau, sql, collaboration"
Core Medical Data Product Lead,PicnicHealth,Anywhere,via LinkedIn,2023-05-26 03:00:31.049485,,"machine learning, c, empathy"
Data Analyst,ALFA International Aviation Services,Anywhere,via LinkedIn,2023-05-30 03:00:09.540769,,
Data Analyst to create a Price Map,Upwork,Anywhere,via Upwork,2023-05-30 03:00:09.540769,,"sas, go, excel, sql, javascript, spss"
Data Analyst I------Remote,US Tech Solutions,"Kansas City, MO",via KSNT Jobs,2023-05-30 03:00:09.540769,,"r, sas, tableau, excel, sql, sap, spreadsheet"
Data Science Analyst,PulsePoint,United States,via LinkedIn,2023-05-30 03:00:09.540769,,"machine learning, r, excel, sql, python"
Data Analyst III,Centene Corporation,"Kansas City, MO",via Recruit.net,2023-05-30 03:00:09.540769,,"excel, sql, flexibility"
Senior Business / Data Analyst,Guidehouse,United States,via Indeed,2023-05-30 03:00:09.540769,,"communication, power bi, tableau, visio, critical thinking, adaptability, spreadsheet, teamwork, collaboration"
"SQL Report Writer Data Analyst, Office of Institutional...",University of Missouri - Kansas City,"Kansas City, MO",via HigherEdJobs,2023-05-30 03:00:09.540769,,"communication, power bi, word, excel, sql, integrity, cognos"
Data Analyst,Booz Allen Hamilton,United States,via Trabajo.org,2023-05-30 03:00:09.540769,,"bash, c, powershell, python, collaboration, flexibility"
Reporting - HEALTH DATA ANALYST II,CommunityCare,"Tulsa, OK",via Lensa,2023-05-30 03:00:09.540769,,"sas, communication, power bi, tableau, sql"
Fraud Data Analyst - Associate - Chase,JPMorgan Chase & Co.,United States,via Jora,2023-05-30 03:00:09.540769,,initiative
Data Analyst,WEBTPA,United States,via WebTPA Jobs,2023-05-30 03:00:12.444215,,"vba, communication, power bi, ssrs, excel, ssis, sql, crystal, problem solving"
Data Analyst-Global Learning Management Hybrid 37066,"Cerebral Staffing, LLC","Olathe, KS",via FOX21News Jobs,2023-05-30 03:00:12.444215,,"communication, tableau"
Fraud Data Analyst - Associate - Chase,JPMorgan Chase & Co.,United States,via Jora,2023-05-30 03:00:12.444215,,initiative
Data Analyst III,Radancy,"Jefferson City, MO",via Trabajo.org,2023-05-30 03:00:12.444215,,"python, flexibility, power bi"
Data Analyst,ALFA International Aviation Services,Anywhere,via LinkedIn,2023-05-30 03:00:12.444215,,
Freelance Data Analyst & Visualization Specialist,Upwork,Anywhere,via Upwork,2023-05-30 03:00:12.444215,119600.0,"communication, sql, analytical thinking"
Data Analyst - Global Learning Management,Volt,"Wichita, KS",via IT JobServe,2023-05-30 03:00:12.444215,74880.0,"communication, initiative, tableau"
Azure Data Analyst/Modelers/Architect,Amrutha Business Solutions,United States,via FOX16 Jobs,2023-05-30 03:00:12.444215,,azure
E-book data analyst Intern,Aristocrat IT Solutions Pvt Ltd,United States,via Jora,2023-05-30 03:00:12.444215,,"time management, r, communication, python, tableau, excel, sql, collaboration"
Data Science Analyst,PulsePoint,United States,via LinkedIn,2023-05-30 03:00:12.444215,,"machine learning, r, excel, sql, python"
Data Scientist,Zeektek,Anywhere,via LinkedIn,2023-05-30 03:00:13.495866,128960.0,"r, sas, python, mysql, linux, machine learning, sql, sap, docker"
Data analyst - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-30 03:00:13.495866,62400.0,sql
Data Analyst,GuideWell,United States,via GuideWell Careers!,2023-05-30 03:00:13.495866,,"vba, communication, power bi, ssrs, excel, ssis, sql, crystal, problem solving"
Staff Data Analyst - People Analytics Product Manager,Walmart,"Noel, MO",via ZipRecruiter,2023-05-30 03:00:13.495866,,"communication, power bi, word, spark, scala, tableau, r, sql, integrity, python"
Data Analyst,NYC KIDS RISE,United States,via Trabajo.org,2023-05-30 03:00:13.495866,,"communication, emotional intelligence, problem solving, mysql, r, interpersonal skills, postgres, excel, sql, decision making, presentation skills, strategic thinking, python, sap"
Data Analyst,GDH,"Tulsa, OK",via GDHinc Jobs - GDH Consulting,2023-05-30 03:00:13.495866,,"communication, python, html, excel, qlik, sql, javascript"
"Data Analyst III (Healthcare Analytics)(SQL, Claims)",Radancy,"Missouri City, MO",via JobServe - Analyst Jobs,2023-05-30 03:00:13.495866,,"power bi, python, flexibility"
Ops Data Analyst,Colgate-Palmolive Company,"Kansas City, KS",via BeBee,2023-05-30 03:00:13.495866,,"communication, power bi, problem solving, tableau, excel, sql, decision making, snowflake, sap"
Data Performance Lead,Element Fleet Management,Anywhere,via LinkedIn,2023-05-30 03:00:13.495866,,"communication, r, sql, accountability, presentation skills, python, dax, powerpoint"
Junior Financial Data Analyst,Humana,"Rogers, AR",via Trabajo.org,2023-05-30 03:00:13.495866,,go
Freelance Data Analyst & Visualization Specialist,Upwork,Anywhere,via Upwork,2023-05-30 03:00:16.365191,119600.0,"communication, sql, analytical thinking"
Customer Data Analyst,Global Payments,United States,via BeBee,2023-05-30 03:00:16.365191,,excel
Staff Data Analyst - People Analytics Product Manager,Walmart,"Cave Springs, AR",via ZipRecruiter,2023-05-30 03:00:16.365191,,"communication, power bi, word, spark, scala, tableau, r, sql, integrity, python"
Data Analyst Work Force Management,CARSOME,United States,via Trabajo.org,2023-05-30 03:00:16.365191,,"communication, presentation skills"
Colorado Aquatic Data Specialist,The Great Basin Institute,United States,via LinkedIn,2023-05-30 03:00:16.365191,,"initiative, spreadsheet, resource management, python"
Data Analyst/ Analytics Specialist I,One Federal Solution,United States,via BeBee,2023-05-30 03:00:16.365191,,"word, spreadsheet"
Sr. IT Business Analyst,GDH,"Tulsa, OK",via GDHinc Jobs,2023-05-30 03:00:16.365191,,"communication, azure, power bi, problem solving, initiative, sharepoint, ssrs, excel, sql, decision making"
Financial Data Analyst,Booz Allen Hamilton,United States,via Trabajo.org,2023-05-30 03:00:16.365191,,"power bi, excel, collaboration, flexibility"
Data Analyst with gsheet expertise - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-30 03:00:16.365191,62400.0,"sql, bigquery"
Data Analyst,UnitedHealth Group,United States,via BeBee,2023-05-30 03:00:16.365191,,"problem solving, initiative, tableau, sql, integrity, alteryx, flexibility"
Senior Data Analyst,RVO Health,Anywhere,via LinkedIn,2023-05-30 03:00:17.984856,,"time management, communication, initiative"
Staff Data Analyst - People Analytics Product Manager,Walmart,"Fayetteville, AR",via ZipRecruiter,2023-05-30 03:00:17.984856,,"communication, power bi, word, spark, scala, tableau, r, sql, integrity, python"
Total Rewards Data Analyst,"World Insurance Associates, LLC.",United States,via Trabajo.org,2023-05-30 03:00:17.984856,,"detail oriented, integrity"
Senior Data Analyst,The Aerospace Corporation,United States,via BeBee,2023-05-30 03:00:17.984856,,"communication, machine learning, java, teamwork, python, crystal, c/c++, flexibility"
"Analyst, Oncology Data",Inspira Health Network,United States,via Trabajo.org,2023-05-30 03:00:17.984856,,
Data analyst/BI expert to help with a prediction Problem,Upwork,Anywhere,via Upwork,2023-05-30 03:00:17.984856,72800.0,
Senior Data Analyst,RedCat Solutions Ltd,United States,via BeBee,2023-05-30 03:00:17.984856,,"r, python, snowflake, sql, hadoop, power bi"
Staff Data Analyst - People Analytics Product Manager,Walmart,"Rogers, AR",via ZipRecruiter,2023-05-30 03:00:17.984856,,"communication, power bi, word, spark, scala, tableau, r, sql, integrity, python"
Equity Researcher and Data Analyst – Rivera Consulting,American Planning Association,United States,via Trabajo.org,2023-05-30 03:00:17.984856,,"communication, tableau, excel, collaboration"
Data Analyst,WayUp,United States,via BeBee,2023-05-30 03:00:17.984856,,"r, sas, communication, python, tableau, excel, word, sql, outlook, problem solving, powerpoint"
Data analyst/BI expert to help build analytics reports dashboard ...,Upwork,Anywhere,via Upwork,2023-05-30 03:00:19.440304,,
Telemetry Data Analyst,Intstats,United States,via BeBee,2023-05-30 03:00:19.440304,,"r, communication, sql, flexibility"
Associate Data Center Operations Analyst,Ensono,"Oklahoma City, OK",via Trabajo.org,2023-05-30 03:00:19.440304,,
International Trade Data Analyst,White & Case LLP,United States,via BeBee,2023-05-30 03:00:19.440304,,"communication, sas, r, excel, sap"
Data Analyst III,Radancy,"Jefferson City, MO",via Trabajo.org,2023-05-30 03:00:19.440304,,"python, flexibility, power bi"
Klaviyo Expert - Email Marketing Specialist & Data Analyst,Upwork,Anywhere,via Upwork,2023-05-30 03:00:19.440304,88400.0,collaboration
Data Scientist (SkillBridge Intern) - 7491,"Mission Technologies, a division of HII",United States,via LinkedIn,2023-05-30 03:00:19.440304,,"machine learning, r, aws, decision making, python, jupyter"
Data Analysis,Upwork,Anywhere,via Upwork,2023-05-30 03:00:19.440304,41600.0,excel
"(USA) Analyst II, Merchandising Business Analytics",Walmart,"Springdale, AR",via ZipRecruiter,2023-05-30 03:00:19.440304,,"resilience, negotiation, initiative, integrity, strategic thinking, collaboration"
Solar analyst,Upwork,Anywhere,via Upwork,2023-05-30 03:00:19.440304,166400.0,
"(USA) Analyst II, Merchandising Business Analytics",Walmart,"Rogers, AR",via ZipRecruiter,2023-05-30 03:00:21.427962,,"resilience, negotiation, initiative, integrity, strategic thinking, collaboration"
Very easy r project,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,,r
Google Analytics expert required,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,,
Salesforce Einstein Analytics- Urgently required,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,20800.0,
Google Analytics GA4 expert - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,,
Extracting repeating data from differnt excel sheets,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,,
Statistical analysis in jamovi,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,,
Statistical Analysis using R,Upwork,Anywhere,via Upwork,2023-05-30 03:00:21.427962,,"r, word"
Senior Data Analyst - Cox Business,Cox Enterprises,"Oklahoma City, OK",via Cox Careers - Cox Enterprises,2023-06-02 03:00:12.707598,,"communication, interpersonal skills, tableau, excel, flexibility"
Data Analyst / Data engineer,Intellectt Inc,Anywhere,via LinkedIn,2023-06-02 03:00:12.707598,,"sql, r, sas, microstrategy, python, power bi, tableau"
Master Data Analyst,The Wonderful Company,United States,via SmartRecruiters Job Search,2023-06-02 03:00:12.707598,,"communication, problem solving, initiative, flexibility"
Data Analyst,Lewis-Clark State College,United States,via LinkedIn,2023-06-02 03:00:12.707598,,"communication, power bi, tableau, adaptability, excel, collaboration, flexibility"
Healthcare Data Analyst,ConcertoCare,"Kansas City, MO",via ZipRecruiter,2023-06-02 03:00:12.707598,,"r, sas, python, excel, sql"
SQL Data Analyst,HonorVet Technologies,"Bentonville, AR",via Indeed,2023-06-02 03:00:12.707598,,"ssrs, t-sql, sql, power bi"
Data Analyst/BI,Upwork,Anywhere,via Upwork,2023-06-02 03:00:12.707598,,"communication, excel, word, outlook, patience, powerpoint"
Data Analyst,Jobot,"Oklahoma City, OK",via LinkedIn,2023-06-02 03:00:12.707598,,"communication, azure, sql, collaboration"
Sales Data Analyst,Advantage Solutions,"Rogers, AR",via FOX 5 San Diego Jobs,2023-06-02 03:00:12.707598,,
Data Analyst,Rose International,Anywhere,via Indeed,2023-06-02 03:00:12.707598,135200.0,"cognos, sas, communication, excel, sql, power bi"
Data Analyst IV (Healthcare Analytics),Corporate,"Kansas City, MO",via JobServe,2023-06-02 03:00:16.212631,,"python, flexibility, power bi"
HIM Data Analyst,Compass Health Network,"Nevada, MO",via Recruit.net,2023-06-02 03:00:16.212631,,"power bi, excel"
Data Analyst III,Centene Corporation,"Jefferson City, MO",via ComputerJobs,2023-06-02 03:00:16.212631,,"excel, sql, flexibility"
Senior Data Analyst - Cox Business,Cox Communications,"Spencer, OK",via PIX11 Jobs,2023-06-02 03:00:16.212631,,"communication, tableau, interpersonal skills, excel, flexibility"
Data Strategy Analyst,GANNETT,United States,via The Muse,2023-06-02 03:00:16.212631,,"communication, sharepoint, excel, powerpoint"
Amazon Data Analyst & Forecaster – Offshore - Contract to Hire,Upwork,Anywhere,via Upwork,2023-06-02 03:00:16.212631,18720.0,"communication, power bi, excel, presentation skills, powerpoint"
Business Data Analyst,Fufill Team Inc.,United States,via LinkedIn,2023-06-02 03:00:16.212631,90000.0,"power bi, sql, sharepoint"
Data Analyst II (Healthcare Analytics),Corporate,"Jefferson City, MO",via My Stateline Jobs,2023-06-02 03:00:16.212631,,"python, flexibility, power bi"
Medical Data Analyst - Trauma Services,Ascension,"Tulsa, OK",via Indeed,2023-06-02 03:00:16.212631,,communication
Data Analyst,Arthur Lawrence,"Pittsburg, KS",via Trabajo.org,2023-06-02 03:00:16.212631,,"r, python, sql, integrity, collaboration"
Financial Data Analyst,Aristocrat Technologies,"Kansas City, MO",via Recruit.net,2023-06-02 03:00:18.390578,,"power bi, word, r, excel, outlook, python, powerpoint"
Senior Data Analyst - Cox Business,Cox Communications,"Tuttle, OK",via ZipRecruiter,2023-06-02 03:00:18.390578,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Data Analyst IV (Healthcare Analytics),Corporate,"Jefferson City, MO",via My Stateline Jobs,2023-06-02 03:00:18.390578,,"python, flexibility, power bi"
Data Analyst,Saalex,United States,via Trabajo.org,2023-06-02 03:00:18.390578,,decision making
"Data Scientist, Analytics",Airtable,United States,via Ai-Jobs.net,2023-06-02 03:00:18.390578,233500.0,"r, sql, python"
Data Analyst/BI,Upwork,Anywhere,via Upwork,2023-06-02 03:00:18.390578,,"communication, excel, word, outlook, patience, powerpoint"
Senior Data Analyst - Cox Business,Cox Communications,"Warr Acres, OK",via My Valley Jobs Today,2023-06-02 03:00:18.390578,,"communication, tableau, interpersonal skills, excel, flexibility"
Associate Research Data Analyst Central Office,State of Missouri,"Jefferson City, MO",via LinkedIn,2023-06-02 03:00:18.390578,,"communication, tableau, excel"
Data Analyst IV (Healthcare Analytics),Corporate,"Kansas City, MO",via My Stateline Jobs,2023-06-02 03:00:18.390578,,"python, flexibility, power bi"
"Sr. Analyst II, Clinical Data and Population Health",NextGen Healthcare,United States,via Indeed,2023-06-02 03:00:18.390578,,"time management, power bi, problem solving, tableau, critical thinking, r, ssrs, sql, spss, python, snowflake"
"Data Analyst (Olathe, KS; )",CEDENT,"Olathe, KS",via ZipRecruiter,2023-06-02 03:00:21.090393,,"communication, tableau"
Data Analyst,SKG Consulting,United States,via Trabajo.org,2023-06-02 03:00:21.090393,,"r, communication, python, tableau"
Senior Data Analyst - Cox Business,Cox Communications,"Jones, OK",via PIX11 Jobs,2023-06-02 03:00:21.090393,,"communication, tableau, interpersonal skills, excel, flexibility"
Data Analyst II (Healthcare Analytics),Corporate,"Kansas City, MO",via My Stateline Jobs,2023-06-02 03:00:21.090393,,"python, flexibility, power bi"
Data Analyst (Training and Placement for OPT/CPT),Inrika Inc,United States,via LinkedIn,2023-06-02 03:00:21.090393,,
Healthcare Data Analyst,Vatica Health,United States,via Trabajo.org,2023-06-02 03:00:21.090393,,"communication, go, power bi, sql, t-sql"
Data Analyst - Google Analytics Specialist,Upwork,Anywhere,via Upwork,2023-06-02 03:00:21.090393,119600.0,"looker, html, javascript, flexibility"
Senior Data Analyst - Cox Business,Cox Communications,"Moore, OK",via FOX21News Jobs,2023-06-02 03:00:21.090393,,"communication, tableau, interpersonal skills, excel, flexibility"
Senior Data Analytics Analyst (8121),IT Resources,Anywhere,via LinkedIn,2023-06-02 03:00:21.090393,,"power bi, tableau"
Data Analyst,MSCCN,"Tulsa, OK",via Trabajo.org,2023-06-02 03:00:21.090393,,"python, html, qlik, sql, javascript"
Senior Data Analytics Analyst (8121),IT Resources,Anywhere,via LinkedIn,2023-06-02 03:00:30.704729,,"power bi, tableau"
Data Analyst and BI Developer,NielsenIQ,United States,via Trabajo.org,2023-06-02 03:00:30.704729,,presentation skills
Senior Data Analyst - Cox Business,Cox Communications,"Spencer, OK",via WKRG Jobs,2023-06-02 03:00:30.704729,,"communication, tableau, interpersonal skills, excel, flexibility"
"Sr. Business Data Analyst (Must have: ETL tools, SQL, PowerBI) ...",Accion Labs,Anywhere,via LinkedIn,2023-06-02 03:00:30.704729,,"cognos, communication, conflict resolution, interpersonal skills, tableau, qlik, sql, decision making, flexibility, power bi"
Lead Quality Data Analyst,The Boeing Company,United States,via Trabajo.org,2023-06-02 03:00:30.704729,,
Data Analyst - Contract to Hire,Upwork,Anywhere,via Upwork,2023-06-02 03:00:30.704729,83200.0,"aws, snowflake, looker, power bi"
Senior Data Analyst - Cox Business,Cox Communications,"Arcadia, OK",via ZipRecruiter,2023-06-02 03:00:30.704729,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Data Insights Analyst – Temporary,Absolute Software,United States,via LinkedIn,2023-06-02 03:00:30.704729,,"communication, resilience, aws, excel, sql, python"
Population Health Data Analyst: Population Health,Saint Francis Health System,"Tulsa, OK",via Trabajo.org,2023-06-02 03:00:30.704729,,"r, sas, python, tableau, powershell, excel, visual basic, qlik, sql, decision making, power bi"
Senior Data Analyst - Cox Business. Job in Valley Brook My Valley...,Cox Communications,"Valley Brook, OK",via My Valley Jobs Today,2023-06-02 03:00:30.704729,,"communication, tableau, interpersonal skills, excel, flexibility"
Data Analyst III- Solutions Design Team!,Walmart,"Elm Springs, AR",via ZipRecruiter,2023-06-02 03:00:32.434464,,"r, looker, python, scala, power bi, tableau, gcp, machine learning, sql, spark, decision making"
Data Analyst for GTM and datalayer setup - Contract to Hire,Upwork,Anywhere,via Upwork,2023-06-02 03:00:32.434464,62400.0,css
ID - DOPL - Data Analyst,Integrated Resources,United States,via Trabajo.org,2023-06-02 03:00:32.434464,,
Data Governance,Largeton Inc,Anywhere,via LinkedIn,2023-06-02 03:00:32.434464,,"gcp, java, node, python, js"
Data Analyst III,Corporate,United States,via Trabajo.org,2023-06-02 03:00:32.434464,,"python, flexibility, power bi"
Data Analyst III- Solutions Design Team!,Walmart,"Farmington, AR",via ZipRecruiter,2023-06-02 03:00:32.434464,,"r, looker, python, scala, power bi, tableau, gcp, machine learning, sql, spark, decision making"
Workflow Data Analyst,DentaQuest,United States,via Trabajo.org,2023-06-02 03:00:32.434464,,"communication, problem solving, initiative, sharepoint, interpersonal skills, sql"
Python Data Analyst/Scientist for Hotel Booking Cancellation...,Upwork,Anywhere,via Upwork,2023-06-02 03:00:32.434464,,"communication, numpy, python, matplotlib, scikit-learn, seaborn, pandas"
Power Platform Analyst,Procentrix,Anywhere,via LinkedIn,2023-06-02 03:00:32.434464,,
Senior Data Analyst - Cox Business,Cox Communications,"Jones, OK",via ZipRecruiter,2023-06-02 03:00:32.434464,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Business Intelligence Analyst,Woodruff,"Kansas City, MO",via LinkedIn,2023-06-02 03:00:44.904948,,"communication, bigquery, sas, tableau, r, excel, sql, integrity, spss, python"
Sr. Category Analyst - Data Engineer,Ghirardelli Chocolate,"Rogers, AR",via ZipRecruiter,2023-06-02 03:00:44.904948,,"communication, looker, power bi, tableau, excel, word, sql, alteryx, powerpoint"
Data Analyst for Formula 1 Statistics - Gather and Sort Data ...,Upwork,Anywhere,via Upwork,2023-06-02 03:00:44.904948,,"r, communication, python, tableau, excel"
Data Analytics and Reporting,U.S. Bank,Anywhere,via LinkedIn,2023-06-02 03:00:44.904948,,"communication, sas, r, excel, sql, hadoop, spss, python, collaboration"
Senior Data Analyst - Cox Business,Cox Communications,"Piedmont, OK",via ZipRecruiter,2023-06-02 03:00:44.904948,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
"Sr. Analyst II, Clinical Data and Population Health",NextGen Healthcare,United States,via LinkedIn,2023-06-02 03:00:44.904948,,"time management, power bi, problem solving, tableau, critical thinking, r, ssrs, sql, spss, python, snowflake"
Data Analysis and Presentation Deck,Upwork,Anywhere,via Upwork,2023-06-02 03:00:44.904948,,"excel, powerpoint"
Data Science Specialist,Teramind,Anywhere,via LinkedIn,2023-06-02 03:00:44.904948,,machine learning
Senior Data Analyst - Cox Business,Cox Communications,"Nicoma Park, OK",via ZipRecruiter,2023-06-02 03:00:44.904948,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Business Intelligence Analyst,Digital Monitoring Products,"Springfield, MO",via LinkedIn,2023-06-02 03:00:44.904948,,qlik
Senior Data Analyst - Cox Business,Cox Communications,"Mustang, OK",via ZipRecruiter,2023-06-02 03:00:46.744834,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Need a business intelligence analyst,Upwork,Anywhere,via Upwork,2023-06-02 03:00:46.744834,,communication
Senior Marketing Data Analyst (Remote),AuditBoard,Anywhere,via LinkedIn,2023-06-02 03:00:46.744834,,"communication, power bi, machine learning, tableau, spreadsheet, sql, presentation skills, python"
Senior Data Analyst - Cox Business,Cox Communications,"Edmond, OK",via ZipRecruiter,2023-06-02 03:00:46.744834,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Senior Data Analyst - Cox Business,Cox Communications,"Midwest City, OK",via ZipRecruiter,2023-06-02 03:00:46.744834,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Survey Data Analyst Pipeline,Oceaneering,United States,via LinkedIn,2023-06-02 03:00:46.744834,,"communication, word, analytical thinking, excel, outlook, integrity, decision making, resource management"
Senior Data Analyst - Cox Business,Cox Communications,"The Village, OK",via ZipRecruiter,2023-06-02 03:00:46.744834,96500.0,"communication, tableau, interpersonal skills, excel, flexibility"
Data Annotation Analyst,Betterview,Anywhere,via LinkedIn,2023-06-02 03:00:46.744834,,"machine learning, c, postgresql, initiative, sql, accountability, decision making, python, jupyter, jira"
"Sr. Data Analyst, Marketing Operations",Cox Communications,"Moore, OK",via ZipRecruiter,2023-06-02 03:00:46.744834,96500.0,"communication, microstrategy, tableau, sql, presentation skills, jira"
Senior GRC Risk Analyst (Contractor),Wavicle Data Solutions,Anywhere,via LinkedIn,2023-06-02 03:00:46.744834,,"problem solving, creativity, patience, collaboration"
Remote Data Analyst,Bayforce,Anywhere,via LinkedIn,2023-05-31 03:00:10.322803,47500.0,sql
Data Analyst,DeVry University,Anywhere,via LinkedIn,2023-05-31 03:00:10.322803,59020.0,"communication, power bi, detail oriented, excel, sql, cognos, dax, crystal"
Compliance Data Analyst,Sezzle,Anywhere,via Indeed,2023-05-31 03:00:10.322803,85000.0,"communication, power bi, machine learning, postgresql, looker, initiative, tableau, mysql, aws, sql, redshift, python"
Data Analyst,NLB Services,Anywhere,via LinkedIn,2023-05-31 03:00:10.322803,,"tableau, excel"
Data Analyst & Data Entry,Upwork,Anywhere,via Upwork,2023-05-31 03:00:10.322803,24960.0,
Data Analyst - STARTS Immediately,Bayforce,Anywhere,via LinkedIn,2023-05-31 03:00:10.322803,,"excel, sql"
Data Analyst,LTV SaaS Growth,Anywhere,via Indeed,2023-05-31 03:00:10.322803,,"spreadsheet, sql"
Jr. Insight Data Analyst,Acosta,"Rogers, AR",via LinkedIn,2023-05-31 03:00:10.322803,,"communication, excel"
Financial Data Analyst,Aristocrat Technologies,"Springdale, AR",via Recruit.net,2023-05-31 03:00:10.322803,,"power bi, word, r, excel, outlook, python, powerpoint"
[SO] Senior Data Analyst,Bosch Group,United States,via Ai-Jobs.net,2023-05-31 03:00:10.322803,111175.0,"communication, power bi, machine learning, java, r, teamwork, sql, python, sap"
Data Analyst,Bartech Staffing,"Wichita, KS",via Recruit.net,2023-05-31 03:00:12.478473,,"tableau, sql"
[SO] Senior Data Analyst,Bosch Group,United States,via Ai-Jobs.net,2023-05-31 03:00:12.478473,111175.0,"communication, power bi, machine learning, java, r, teamwork, sql, python, sap"
Sr. Data Analyst,Elevance Health,"Topeka, KS",via Trabajo.org,2023-05-31 03:00:12.478473,,
Data Analyst/Data Engineer,Info Origin inc,"Kansas City, KS",via Indeed,2023-05-31 03:00:12.478473,108316.0,"communication, python, azure, ssrs, ssis, sql, data lake, spark"
Azure Data Analyst/Modelers/Architect,Amrutha Business Solutions,United States,via FOX 5 San Diego Jobs,2023-05-31 03:00:12.478473,,azure
Junior Data Analyst (Remote) ($82000.00 - $140000.00 / year),Talentify.io,Anywhere,via LinkedIn,2023-05-31 03:00:12.478473,,"java, communication, python, go, c++, tableau, javascript"
Data Analyst - Supply Chain,The University of Kansas Hospital,"Lenexa, KS",via Kansas Jobs - JobServe,2023-05-31 03:00:12.478473,,"communication, power bi, tableau, ssrs, excel, sql, presentation skills"
Data Analyst,Upwork,Anywhere,via Upwork,2023-05-31 03:00:12.478473,52000.0,
Financial Data Analyst,Aristocrat Technologies,"Springdale, AR",via Recruit.net,2023-05-31 03:00:12.478473,,"power bi, word, r, excel, outlook, python, powerpoint"
Junior Data Analyst,"Staffigo Technical Services, LLC","Tulsa, OK",via Adzuna,2023-05-31 03:00:12.478473,,"communication, power bi, tableau, excel, integrity"
Data Analyst,SynergisticIT,United States,via Trabajo.org,2023-05-31 03:00:14.869530,,nosql
Data Analyst (Spotfire),"Advansys, Inc",Anywhere,via Indeed,2023-05-31 03:00:14.869530,,communication
Financial Data Analyst Senior or Lead,Progressive Insurance,Anywhere,via LinkedIn,2023-05-31 03:00:14.869530,,"vba, sas, excel, sql, spreadsheet, collaboration, flexibility, powerpoint"
Data Analyst III,Radancy,"Jefferson City, MO",via Trabajo.org,2023-05-31 03:00:14.869530,,"excel, sql, flexibility"
Data Analyst,GDH,"Tulsa, OK",via GDHinc Jobs - GDH Consulting,2023-05-31 03:00:14.869530,,"communication, python, html, excel, qlik, sql, javascript"
data analyst/data scientist working with real data from the World...,Upwork,Anywhere,via Upwork,2023-05-31 03:00:14.869530,,
Associate Research/Data Analyst (OEWS),State of Missouri,"Jefferson City, MO",via LinkedIn,2023-05-31 03:00:14.869530,,"word, teamwork, excel, accountability, collaboration"
"Data Analyst (Olathe, KS; )",CEDENT,"Olathe, KS",via ZipRecruiter,2023-05-31 03:00:14.869530,,"communication, tableau"
Data Analyst II,Centene Corporation,United States,via Trabajo.org,2023-05-31 03:00:14.869530,,flexibility
System Reliability Engineer (Big Data),Fulcrum Digital Inc.,United States,via Ai-Jobs.net,2023-05-31 03:00:14.869530,,"sql, hadoop, spark"
Healthcare Data Analyst IV,Premera Blue Cross,Anywhere,via LinkedIn,2023-05-31 03:00:25.331600,,"vba, r, sql, python"
Data Quality Analyst,Childrens Hospital Association,"Lenexa, KS",via ZipRecruiter,2023-05-31 03:00:25.331600,,
Senior Data Scientist / Analyst Jobs,Falconwood,United States,via Clearance Jobs,2023-05-31 03:00:25.331600,,"r, communication, python, power bi, tableau, qlik, sql, integrity, collaboration"
Data Analyst I------Remote,US Tech Solutions,United States,via Trabajo.org,2023-05-31 03:00:25.331600,,"r, sas, tableau, excel, sql, sap, spreadsheet"
Senior Data Analyst,Arcanium Ventures,Anywhere,via LinkedIn,2023-05-31 03:00:25.331600,,"machine learning, tableau, airflow, sql, outlook, python, jupyter"
Data Analyst;,Catholic Charities of Brooklyn & Queens,United States,via Trabajo.org,2023-05-31 03:00:25.331600,,"excel, spss"
"Data Analyst for Google Ads, Meta Ads, and Google Analytics...",Upwork,Anywhere,via Upwork,2023-05-31 03:00:25.331600,,
Senior Data Analyst,TriNet,Anywhere,via LinkedIn,2023-05-31 03:00:25.331600,,"time management, communication, emotional intelligence, tableau, integrity, collaboration, flexibility"
Data Analyst,Diverse Lynx,United States,via Trabajo.org,2023-05-31 03:00:25.331600,,"azure, sql"
Data Analyst - Contract to Hire,Upwork,Anywhere,via Upwork,2023-05-31 03:00:25.331600,,"r, communication, python, power bi, sql"
Data Analyst,Diverse Lynx,United States,via Trabajo.org,2023-05-31 03:00:30.260899,,"azure, sql"
